connections,country_name,code,gdp_percapita,incoming,iso3_digit_code,lat,long,outgoing
"['Sri Lanka', 'Malaysia', 'Algeria', 'Dominica', 'Ecuador', 'Haiti', 'Jordan', 'South Korea', 'Seychelles', 'Madagascar', 'Maldives', 'Nepal', 'Bangladesh', 'Tajikistan', 'Tanzania', 'Timor-Leste', 'Uganda', 'Cambodia', 'Cape Verde', 'Comoros', 'Djibouti', 'Iran', 'Kenya', 'Armenia', 'Laos']",Yemen,YEM,1473.1,990000,887,15.552727,48.516388,0
"['Barbados', 'Peru', 'Bahamas', 'Hong Kong', 'Ireland', 'Kenya', 'Bangladesh', 'Bolivia', 'Botswana', 'Chile', 'Colombia', 'Guatemala', 'Malawi', 'Nicaragua', 'Antigua and Barbuda', 'Belize', 'Malaysia', 'Costa Rica', 'Egypt', 'Indonesia', 'South Korea', 'Dominica', 'Philippines']",Fiji,FJI,7750.43,658000,242,-16.578193,179.414413,0
"['Barbados', 'Canada', 'Dominica', 'United Kingdom', 'Peru', 'Panama', 'Fiji', 'Bahamas', 'Honduras', 'Hong Kong', 'Ireland', 'Kenya', 'New Zealand', 'Austria', 'Belgium', 'Czech Republic', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Greece', 'Hungary', 'Iceland', 'Italy', 'Latvia', 'Liechtenstein', 'Lithuania', 'Luxembourg', 'Malta', 'Netherlands', 'Norway', 'Poland', 'Portugal', 'Slovakia', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Bolivia', 'Bosnia and Herzegovina', 'Botswana', 'Chile', 'Colombia', 'Guatemala', 'Malawi', 'Nicaragua', 'Antigua and Barbuda', 'Belize', 'Malaysia', 'Egypt', 'Indonesia', 'South Korea', 'Thailand', 'Ukraine', 'United Arab Emirates', 'Philippines', 'Bahrain', 'Japan']",Brunei,BRN,71776.65,225000,96,4.535277,114.727669,0
"['Peru', 'Panama', 'Argentina', 'Bahamas', 'Ireland', 'Kenya', 'Uruguay', 'Brazil', 'Chile', 'Colombia', 'Paraguay', 'Serbia', 'Venezuela', 'Hong Kong', 'Malaysia', 'Costa Rica', 'Egypt', 'South Africa', 'Dominica', 'Philippines']",Bolivia,BOL,6131.06,798000,68,-16.290154,-63.588653,837000
"['Kenya', 'Kuwait', 'Venezuela', 'Malaysia', 'Egypt', 'Indonesia', 'Dominica', 'Philippines', 'Brunei', 'Thailand']",Cambodia,KHM,1006.84,2882000,116,12.565679,104.990963,710000
"['Sri Lanka', 'Lithuania', 'Luxembourg', 'Malta', 'Netherlands', 'Austria', 'Norway', 'Poland', 'Portugal', 'Romania', 'Slovenia', 'Slovakia', 'Spain', 'Sweden', 'Switzerland', 'United Kingdom', 'Belgium', 'Bulgaria', 'Croatia', 'Cyprus', 'Czech Republic', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Greece', 'Hungary', 'Iceland', 'Ireland', 'Italy', 'Latvia', 'Australia', 'United States', 'Lesotho', 'Macedonia', 'Malaysia', 'Armenia', 'Mauritius', 'Mexico', 'Moldova', 'Morocco', 'New Zealand', 'Nicaragua', 'Panama', 'Paraguay', 'Peru', 'Philippines', 'Bahamas', 'Serbia', 'Singapore', 'South Africa', 'Thailand', 'Barbados', 'Tunisia', 'Turkey', 'Ukraine', 'Uruguay', 'Venezuela', 'Belize', 'Bolivia', 'Bosnia and Herzegovina', 'Botswana', 'Brazil', 'Brunei', 'Canada', 'Chile', 'Colombia', 'Costa Rica', 'Albania', 'Dominica', 'Dominican Republic', 'Ecuador', 'Fiji', 'Gambia', 'Georgia', 'Andorra', 'Grenada', 'Guatemala', 'Haiti', 'Honduras', 'Israel', 'Jamaica', 'Japan', 'Antigua and Barbuda', 'South Korea', 'Kyrgyzstan', 'Argentina', 'United Arab Emirates', 'Seychelles', 'Lebanon', 'Madagascar', 'Maldives', 'Nepal', 'Oman', 'Papua New Guinea', 'Qatar', 'Bahrain', 'Bangladesh', 'Tajikistan', 'Tanzania', 'Timor-Leste', 'Uganda', 'Zimbabwe', 'Burkina Faso', 'Cambodia', 'Cape Verde', 'Comoros', 'Djibouti', 'Egypt', 'Indonesia', 'Iran', 'Jordan', 'Kenya', 'Kuwait', 'Laos']",Liechtenstein,,0,52000,438,47.166,9.555373,0
"['Botswana', 'Cape Verde', 'Comoros', 'Djibouti', 'Egypt', 'Gambia', 'Kenya', 'Lesotho', 'Madagascar', 'Malawi', 'Seychelles', 'Swaziland', 'Tanzania', 'Uganda', 'Zimbabwe', 'Antigua and Barbuda', 'Bahamas', 'Belize', 'Bermuda', 'British Virgin Islands', 'Canada', 'Cayman Islands', 'Dominica', 'Ecuador', 'Grenada', 'Haiti', 'Jamaica', 'Armenia', 'Bangladesh', 'Cambodia', 'Georgia', 'Hong Kong', 'Laos', 'Macau', 'Malaysia', 'Maldives', 'Nepal', 'Philippines', 'Singapore', 'Timor-Leste', 'Gibraltar', 'United Kingdom', 'Fiji']",Papua New Guinea,PNG,2105.3,174000,598,-6.314993,143.95555,619000
"['Austria', 'Belgium', 'Bulgaria', 'Cyprus', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Greece', 'Hungary', 'Iceland', 'Ireland', 'Italy', 'Latvia', 'Liechtenstein', 'Lithuania', 'Luxembourg', 'Malta', 'Netherlands', 'Norway', 'Poland', 'Portugal', 'Romania', 'Slovakia', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'United Kingdom', 'Peru', 'Mexico', 'Panama', 'Fiji', 'Antigua and Barbuda', 'Argentina', 'Bahamas', 'Barbados', 'Honduras', 'Hong Kong', 'Kenya', 'Malaysia', 'Morocco', 'New Zealand', 'Uruguay', 'Albania', 'Bangladesh', 'Bolivia', 'Bosnia and Herzegovina', 'Botswana', 'Brazil', 'Brunei', 'Chile', 'Colombia', 'Costa Rica', 'Guatemala', 'Japan', 'Moldova', 'Paraguay', 'Serbia', 'South Africa', 'South Korea', 'Ukraine', 'Venezuela', 'Belize', 'Lebanon']",Czech Republic,CZE,29017.84,9004000,203,49.817492,15.472962,5304000
"['Benin', 'Kenya', 'Niger', 'Cameroon', 'Malaysia', 'Dominica', 'Philippines', 'Hong Kong']",Chad,TCD,1053.66,71000,148,15.454166,18.732207,0
"['Dominica', 'Bolivia', 'Botswana', 'Philippines']",Cameroon,CMR,2830.13,912000,120,7.369722,12.354722,0
