country1,country2,code1,code2,visa_type,lat2,lng2,lat1,lng1
Afghanistan,Afghanistan,AFG,AFG,5,34.5167,69.1833,34.5167,69.1833
Afghanistan,Albania,AFG,ALB,4,41.3275,19.8189,34.5167,69.1833
Afghanistan,Algeria,AFG,DZA,4,36.7631,3.0506,34.5167,69.1833
Afghanistan,Andorra,AFG,,4,42.5,1.5165,34.5167,69.1833
Afghanistan,Angola,AFG,AGO,4,-8.8383,13.2344,34.5167,69.1833
Afghanistan,Argentina,AFG,ARG,4,-34.6025,-58.3975,34.5167,69.1833
Afghanistan,Armenia,AFG,ARM,4,40.1812,44.5136,34.5167,69.1833
Afghanistan,Australia,AFG,AUS,3,-35.283,149.129,34.5167,69.1833
Afghanistan,Austria,AFG,AUT,4,48.2,16.3666,34.5167,69.1833
Afghanistan,Azerbaijan,AFG,AZE,4,40.3953,49.8622,34.5167,69.1833
Afghanistan,Bahrain,AFG,,4,26.2361,50.5831,34.5167,69.1833
Afghanistan,Bangladesh,AFG,BGD,1,23.7231,90.4086,34.5167,69.1833
Afghanistan,Barbados,AFG,,4,13.102,-59.6165,34.5167,69.1833
Afghanistan,Belarus,AFG,BLR,4,53.9,27.5666,34.5167,69.1833
Afghanistan,Belgium,AFG,BEL,4,50.8333,4.3333,34.5167,69.1833
Afghanistan,Belize,AFG,BLZ,4,17.252,-88.7671,34.5167,69.1833
Afghanistan,Benin,AFG,BEN,4,6.4833,2.6166,34.5167,69.1833
Afghanistan,Benin,AFG,BEN,4,6.4,2.52,34.5167,69.1833
Afghanistan,Bhutan,AFG,BTN,4,27.473,89.639,34.5167,69.1833
Afghanistan,Bolivia,AFG,BOL,4,-16.498,-68.15,34.5167,69.1833
Afghanistan,Bolivia,AFG,BOL,4,-19.041,-65.2595,34.5167,69.1833
Afghanistan,Botswana,AFG,BWA,4,-24.6463,25.9119,34.5167,69.1833
Afghanistan,Brazil,AFG,BRA,4,-15.7833,-47.9161,34.5167,69.1833
Afghanistan,Brunei,AFG,BRN,4,4.8833,114.9333,34.5167,69.1833
Afghanistan,Bulgaria,AFG,BGR,4,42.6833,23.3167,34.5167,69.1833
Afghanistan,Burkina Faso,AFG,BFA,4,12.3703,-1.5247,34.5167,69.1833
Afghanistan,Burundi,AFG,BDI,4,-3.3761,29.36,34.5167,69.1833
Afghanistan,Cambodia,AFG,KHM,4,11.55,104.9166,34.5167,69.1833
Afghanistan,Cameroon,AFG,CMR,4,3.8667,11.5167,34.5167,69.1833
Afghanistan,Canada,AFG,CAN,4,45.4167,-75.7,34.5167,69.1833
Afghanistan,Central African Republic,AFG,CAF,4,4.3666,18.5583,34.5167,69.1833
Afghanistan,Chad,AFG,TCD,4,12.1131,15.0491,34.5167,69.1833
Afghanistan,Chile,AFG,CHL,4,-33.45,-70.667,34.5167,69.1833
Afghanistan,China,AFG,CHN,4,39.9289,116.3883,34.5167,69.1833
Afghanistan,Colombia,AFG,COL,4,4.5964,-74.0833,34.5167,69.1833
Afghanistan,Comoros,AFG,,1,-11.7042,43.2402,34.5167,69.1833
Afghanistan,Costa Rica,AFG,CRI,4,9.935,-84.0841,34.5167,69.1833
Afghanistan,Croatia,AFG,HRV,4,45.8,16,34.5167,69.1833
Afghanistan,Cuba,AFG,CUB,4,23.132,-82.3642,34.5167,69.1833
Afghanistan,Cyprus,AFG,CYP,4,35.1667,33.3666,34.5167,69.1833
Afghanistan,Denmark,AFG,DNK,4,55.6786,12.5635,34.5167,69.1833
Afghanistan,Djibouti,AFG,DJI,1,11.595,43.148,34.5167,69.1833
Afghanistan,Dominica,AFG,,0,15.301,-61.387,34.5167,69.1833
Afghanistan,Dominican Republic,AFG,DOM,4,18.4701,-69.9001,34.5167,69.1833
Afghanistan,Ecuador,AFG,ECU,4,-0.215,-78.5001,34.5167,69.1833
Afghanistan,Egypt,AFG,EGY,4,30.05,31.25,34.5167,69.1833
Afghanistan,El Salvador,AFG,SLV,4,13.71,-89.203,34.5167,69.1833
Afghanistan,Equatorial Guinea,AFG,GNQ,4,3.75,8.7833,34.5167,69.1833
Afghanistan,Eritrea,AFG,ERI,4,15.3333,38.9333,34.5167,69.1833
Afghanistan,Estonia,AFG,EST,4,59.4339,24.728,34.5167,69.1833
Afghanistan,Ethiopia,AFG,ETH,4,9.0333,38.7,34.5167,69.1833
Afghanistan,Fiji,AFG,FJI,4,-18.133,178.4417,34.5167,69.1833
Afghanistan,Finland,AFG,FIN,4,60.1756,24.9341,34.5167,69.1833
Afghanistan,France,AFG,FRA,4,48.8667,2.3333,34.5167,69.1833
Afghanistan,Gabon,AFG,GAB,3,0.3854,9.458,34.5167,69.1833
Afghanistan,Georgia,AFG,GEO,4,41.725,44.7908,34.5167,69.1833
Afghanistan,Germany,AFG,DEU,4,52.5218,13.4015,34.5167,69.1833
Afghanistan,Ghana,AFG,GHA,4,5.55,-0.2167,34.5167,69.1833
Afghanistan,Greece,AFG,GRC,4,37.9833,23.7333,34.5167,69.1833
Afghanistan,Grenada,AFG,,4,12.0526,-61.7416,34.5167,69.1833
Afghanistan,Guatemala,AFG,GTM,4,14.6211,-90.527,34.5167,69.1833
Afghanistan,Guinea,AFG,GIN,4,9.5315,-13.6802,34.5167,69.1833
Afghanistan,Guinea-Bissau,AFG,GNB,1,11.865,-15.5984,34.5167,69.1833
Afghanistan,Guyana,AFG,GUY,4,6.802,-58.167,34.5167,69.1833
Afghanistan,Haiti,AFG,HTI,0,18.541,-72.336,34.5167,69.1833
Afghanistan,Honduras,AFG,HND,4,14.102,-87.2175,34.5167,69.1833
Afghanistan,Hungary,AFG,HUN,4,47.5,19.0833,34.5167,69.1833
Afghanistan,Iceland,AFG,ISL,4,64.15,-21.95,34.5167,69.1833
Afghanistan,India,AFG,IND,4,28.6,77.2,34.5167,69.1833
Afghanistan,Indonesia,AFG,IDN,4,-6.1744,106.8294,34.5167,69.1833
Afghanistan,Iran,AFG,IRN,4,35.6719,51.4243,34.5167,69.1833
Afghanistan,Iraq,AFG,IRQ,4,33.3386,44.3939,34.5167,69.1833
Afghanistan,Ireland,AFG,IRL,4,53.3331,-6.2489,34.5167,69.1833
Afghanistan,Israel,AFG,ISR,4,31.7784,35.2066,34.5167,69.1833
Afghanistan,Italy,AFG,ITA,4,41.896,12.4833,34.5167,69.1833
Afghanistan,Jamaica,AFG,JAM,4,17.9771,-76.7674,34.5167,69.1833
Afghanistan,Japan,AFG,JPN,4,35.685,139.7514,34.5167,69.1833
Afghanistan,Jordan,AFG,JOR,4,31.95,35.9333,34.5167,69.1833
Afghanistan,Kazakhstan,AFG,KAZ,4,51.1811,71.4278,34.5167,69.1833
Afghanistan,Kenya,AFG,KEN,4,-1.2833,36.8167,34.5167,69.1833
Afghanistan,Kiribati,AFG,,4,1.3382,173.0176,34.5167,69.1833
Afghanistan,Kuwait,AFG,KWT,4,29.3697,47.9783,34.5167,69.1833
Afghanistan,Kyrgyzstan,AFG,KGZ,4,42.8731,74.5852,34.5167,69.1833
Afghanistan,Laos,AFG,LAO,4,17.9667,102.6,34.5167,69.1833
Afghanistan,Latvia,AFG,LVA,4,56.95,24.1,34.5167,69.1833
Afghanistan,Lebanon,AFG,LBN,4,33.872,35.5097,34.5167,69.1833
Afghanistan,Lesotho,AFG,LSO,4,-29.3167,27.4833,34.5167,69.1833
Afghanistan,Liberia,AFG,LBR,4,6.3106,-10.8048,34.5167,69.1833
Afghanistan,Libya,AFG,LBY,4,32.8925,13.18,34.5167,69.1833
Afghanistan,Liechtenstein,AFG,,4,47.1337,9.5167,34.5167,69.1833
Afghanistan,Lithuania,AFG,LTU,4,54.6834,25.3166,34.5167,69.1833
Afghanistan,Luxembourg,AFG,LUX,4,49.6117,6.13,34.5167,69.1833
Afghanistan,Macedonia,AFG,MKD,4,42,21.4335,34.5167,69.1833
Afghanistan,Madagascar,AFG,MDG,1,-18.9166,47.5166,34.5167,69.1833
Afghanistan,Malawi,AFG,MWI,4,-13.9833,33.7833,34.5167,69.1833
Afghanistan,Malaysia,AFG,MYS,4,3.1667,101.7,34.5167,69.1833
Afghanistan,Maldives,AFG,,1,4.1667,73.4999,34.5167,69.1833
Afghanistan,Mali,AFG,MLI,4,12.65,-8,34.5167,69.1833
Afghanistan,Malta,AFG,,4,35.8997,14.5147,34.5167,69.1833
Afghanistan,Marshall Islands,AFG,,4,7.103,171.38,34.5167,69.1833
Afghanistan,Mauritania,AFG,MRT,1,18.0864,-15.9753,34.5167,69.1833
Afghanistan,Mauritius,AFG,,4,-20.1666,57.5,34.5167,69.1833
Afghanistan,Mexico,AFG,MEX,4,19.4424,-99.131,34.5167,69.1833
Afghanistan,Moldova,AFG,MDA,4,47.005,28.8577,34.5167,69.1833
Afghanistan,Monaco,AFG,,4,43.7396,7.4069,34.5167,69.1833
Afghanistan,Mongolia,AFG,MNG,4,47.9167,106.9166,34.5167,69.1833
Afghanistan,Montenegro,AFG,MNE,4,42.466,19.2663,34.5167,69.1833
Afghanistan,Morocco,AFG,MAR,4,34.0253,-6.8361,34.5167,69.1833
Afghanistan,Mozambique,AFG,MOZ,1,-25.9553,32.5892,34.5167,69.1833
Afghanistan,Namibia,AFG,NAM,4,-22.57,17.0835,34.5167,69.1833
Afghanistan,Nepal,AFG,NPL,4,27.7167,85.3166,34.5167,69.1833
Afghanistan,Netherlands,AFG,NLD,4,52.35,4.9166,34.5167,69.1833
Afghanistan,Netherlands,AFG,NLD,4,52.08,4.27,34.5167,69.1833
Afghanistan,New Zealand,AFG,NZL,4,-41.3,174.7833,34.5167,69.1833
Afghanistan,Nicaragua,AFG,NIC,4,12.153,-86.2685,34.5167,69.1833
Afghanistan,Niger,AFG,NER,4,13.5167,2.1167,34.5167,69.1833
Afghanistan,Nigeria,AFG,NGA,4,9.0833,7.5333,34.5167,69.1833
Afghanistan,Norway,AFG,NOR,4,59.9167,10.75,34.5167,69.1833
Afghanistan,Oman,AFG,OMN,4,23.6133,58.5933,34.5167,69.1833
Afghanistan,Pakistan,AFG,PAK,4,33.7,73.1666,34.5167,69.1833
Afghanistan,Palau,AFG,,1,7.5,134.6242,34.5167,69.1833
Afghanistan,Panama,AFG,PAN,4,8.968,-79.533,34.5167,69.1833
Afghanistan,Papua New Guinea,AFG,PNG,4,-9.4647,147.1925,34.5167,69.1833
Afghanistan,Paraguay,AFG,PRY,4,-25.2964,-57.6415,34.5167,69.1833
Afghanistan,Peru,AFG,PER,4,-12.048,-77.0501,34.5167,69.1833
Afghanistan,Philippines,AFG,PHL,4,14.6042,120.9822,34.5167,69.1833
